Invoice ID;Branch;Country;Customer type;Gender;Product line;Unit price;Quantity;Tax 5%;Total;Date;Time;Payment;gross income;Rating
765-26-6951;A;Izmir;Normal;Erkek;Spor ve gezi;?7.261;6;21783;457443;1.01.2019;0.44375;Kredi kartı;?21.783;6.8 
329-62-1586;A;Izmir;Normal;Erkek;Yiyecek icecek;?5.467;3;82005;1722105;1/21/2019;0.75;Kredi kartı;?82.005;8.5 
319-50-3348;B;Manisa;Normal;Kadın;Ev ve Yasam;?403;2;403;8463;3.11.2019;0.645833333;Ecuzdan;?403;4.4 
300-71-4605;C;Aydın;Member;Erkek;Elektronik aksesuar;?8.604;5;2151;45171;2/25/2019;0.475;Ecuzdan;?2.151;4.8 
371-85-5789;B;Manisa;Normal;Erkek;Saglık ve Guzellik;?8.798;3;13197;277137;3.05.2019;0.444444444;Ecuzdan;?13.197;5.0 
273-16-6619;B;Manisa;Normal;Erkek;Ev ve Yasam;?332;2;332;6972;3/15/2019;0.513888889;Kredi kartı;?332;4.4 
636-48-8204;A;Izmir;Normal;Erkek;Elektronik aksesuar;?3.456;5;864;18144;2/17/2019;0.46875;Ecuzdan;?864;9.8 
549-59-1358;A;Izmir;Member;Erkek;Spor ve gezi;?8.863;3;132945;2791845;3.02.2019;0.733333333;Ecuzdan;?132.945;0.6 
227-03-5010;A;Izmir;Member;Kadın;Ev ve Yasam;?5.259;8;21036;441756;3/22/2019;0.805555556;Kredi kartı;?21.036;8.4 
649-29-6775;B;Manisa;Normal;Erkek;Moda aksesuar;?3.352;1;1676;35196;2.08.2019;0.646527778;Nakit;?1.676;6.6 
189-17-4241;A;Izmir;Normal;Kadın;Moda aksesuar;?8.767;2;8767;184107;3.10.2019;0.511805556;Kredi kartı;?8.767;7.6 
145-94-9061;B;Manisa;Normal;Kadın;Yiyecek icecek;?8.836;5;2209;46389;1/25/2019;0.825;Nakit;?2.209;9.5 
848-62-7243;A;Izmir;Normal;Erkek;Saglık ve Guzellik;?2.489;9;112005;2352105;3/15/2019;0.65;Nakit;?112.005;7.3 
871-79-8483;B;Manisa;Normal;Erkek;Moda aksesuar;?9.413;5;235325;4941825;2/25/2019;0.81875;Kredi kartı;?235.325;4.8 
149-71-6266;B;Manisa;Member;Erkek;Spor ve gezi;?7.807;9;351315;7377615;1/28/2019;0.529861111;Nakit;?351.315;4.5 
640-49-2076;B;Manisa;Normal;Erkek;Spor ve gezi;?8.378;8;33512;703752;1.10.2019;0.617361111;Nakit;?33.512;5.0 
595-11-5460;A;Izmir;Normal;Erkek;Saglık ve Guzellik;?9.658;2;9658;202818;3/15/2019;0.425;Kredi kartı;?9.658;5.0 
183-56-6882;C;Aydın;Member;Kadın;Yiyecek icecek;?9.942;4;19884;417564;2.06.2019;0.445833333;Ecuzdan;?19.884;7.4 
232-16-2483;C;Aydın;Member;Kadın;Spor ve gezi;?6.812;1;3406;71526;1.07.2019;0.519444444;Ecuzdan;?3.406;6.7 
129-29-8530;A;Izmir;Member;Erkek;Spor ve gezi;?6.262;5;15655;328755;3.10.2019;0.802083333;Ecuzdan;?15.655;0.7 
272-65-1806;A;Izmir;Normal;Kadın;Elektronik aksesuar;?6.088;9;27396;575316;1/15/2019;0.720138889;Ecuzdan;?27.396;4.7 
333-73-7901;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?5.492;8;21968;461328;3/23/2019;0.558333333;Ecuzdan;?21.968;7.5 
777-82-7220;B;Manisa;Member;Erkek;Ev ve Yasam;?3.012;8;12048;253008;3.03.2019;0.542361111;Nakit;?12.048;7.6 
280-35-5823;B;Manisa;Member;Kadın;Ev ve Yasam;?8.672;1;4336;91056;1/17/2019;0.78125;Ecuzdan;?4.336;7.8 
554-53-8700;C;Aydın;Member;Erkek;Ev ve Yasam;?5.611;2;5611;117831;2.02.2019;0.424305556;Nakit;?5.611;6.2 
354-25-5821;B;Manisa;Member;Kadın;Spor ve gezi;?6.912;6;20736;435456;2.08.2019;0.54375;Nakit;?20.736;5.5 
228-96-1411;C;Aydın;Member;Kadın;Yiyecek icecek;?987;8;3948;82908;3.04.2019;0.860416667;Nakit;?3.948;7.5 
617-15-4209;C;Aydın;Member;Erkek;Saglık ve Guzellik;?1.537;2;1537;32277;3/16/2019;0.824305556;Nakit;?1.537;7.1 
132-32-9879;B;Manisa;Member;Kadın;Elektronik aksesuar;?9.396;4;18792;394632;3.09.2019;0.75;Nakit;?18.792;9.4 
370-41-7321;B;Manisa;Member;Erkek;Saglık ve Guzellik;?5.669;9;255105;5357205;2/27/2019;0.725;Kredi kartı;?255.105;8.3 
727-46-3608;B;Manisa;Member;Kadın;Yiyecek icecek;?2.001;9;90045;1890945;2.06.2019;0.657638889;Ecuzdan;?90.045;4.1 
669-54-1719;B;Manisa;Member;Erkek;Elektronik aksesuar;?1.893;6;5679;119259;2.10.2019;0.53125;Kredi kartı;?5.679;8.0 
574-22-5561;C;Aydın;Member;Kadın;Moda aksesuar;?8.263;10;41315;867615;3/19/2019;0.713888889;Ecuzdan;?41.315;7.8 
326-78-5178;C;Aydın;Member;Erkek;Yiyecek icecek;?914;7;3199;67179;2.03.2019;0.429861111;Nakit;?3.199;9.4 
162-48-8011;A;Izmir;Member;Kadın;Yiyecek icecek;?4.459;5;111475;2340975;2.10.2019;0.631944444;Nakit;?111.475;8.4 
616-24-2851;B;Manisa;Member;Kadın;Moda aksesuar;?1.787;4;3574;75054;3/22/2019;0.6125;Ecuzdan;?3.574;6.4 
778-71-5554;C;Aydın;Member;Erkek;Moda aksesuar;?1.543;1;7715;162015;1/25/2019;0.656944444;Kredi kartı;?7.715;6.0 
242-55-6721;B;Manisa;Normal;Erkek;Ev ve Yasam;?1.616;2;1616;33936;3.07.2019;0.492361111;Ecuzdan;?1.616;6.4 
399-46-5918;C;Aydın;Normal;Kadın;Elektronik aksesuar;?8.598;8;34392;722232;2/28/2019;0.792361111;Nakit;?34.392;8.1 
106-35-6779;A;Izmir;Member;Erkek;Ev ve Yasam;?4.434;2;4434;93114;3/27/2019;0.476388889;Nakit;?4.434;5.7 
635-40-6220;A;Izmir;Normal;Erkek;Saglık ve Guzellik;?896;8;3584;75264;2.07.2019;0.477777778;Ecuzdan;?3.584;6.5 
817-48-8732;A;Izmir;Member;Kadın;Ev ve Yasam;?7.235;10;36175;759675;1/20/2019;0.663194444;Nakit;?36.175;5.3 
120-06-4233;C;Aydın;Normal;Erkek;Elektronik aksesuar;?3.061;6;9183;192843;3.12.2019;0.858333333;Nakit;?9.183;9.2 
285-68-5083;C;Aydın;Member;Kadın;Spor ve gezi;?2.474;3;3711;77931;2/15/2019;0.740972222;Kredi kartı;?3.711;1.0 
803-83-5989;C;Aydın;Normal;Erkek;Ev ve Yasam;?5.573;6;16719;351099;2/24/2019;0.454861111;Ecuzdan;?16.719;0.7 
347-34-2234;B;Manisa;Member;Kadın;Spor ve gezi;?5.507;9;247815;5204115;2.03.2019;0.569444444;Ecuzdan;?247.815;1.0 
199-75-8169;A;Izmir;Member;Erkek;Spor ve gezi;?1.581;10;7905;166005;3.06.2019;0.51875;Kredi kartı;?7.905;8.5 
853-23-2453;B;Manisa;Member;Erkek;Saglık ve Guzellik;?7.574;4;15148;318108;2/14/2019;0.607638889;Nakit;?15.148;7.5 
877-22-3308;A;Izmir;Member;Erkek;Saglık ve Guzellik;?1.587;10;7935;166635;3/13/2019;0.694444444;Nakit;?7.935;5.7 
838-78-4295;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?3.347;2;3347;70287;2.10.2019;0.654861111;Ecuzdan;?3.347;6.6 
109-28-2512;B;Manisa;Member;Kadın;Moda aksesuar;?9.761;6;29283;614943;1.07.2019;0.625694444;Ecuzdan;?29.283;9.8 
232-11-3025;A;Izmir;Normal;Erkek;Spor ve gezi;?7.877;10;39385;827085;1/24/2019;0.419444444;Nakit;?39.385;6.3 
382-03-4532;A;Izmir;Member;Kadın;Saglık ve Guzellik;?1.833;1;9165;192465;2.02.2019;0.784722222;Nakit;?9.165;4.3 
393-65-2792;C;Aydın;Normal;Erkek;Yiyecek icecek;?8.948;10;4474;93954;1.06.2019;0.531944444;Kredi kartı;?4.474;9.5 
796-12-2025;C;Aydın;Normal;Erkek;Moda aksesuar;?6.212;10;3106;65226;2.11.2019;0.679861111;Nakit;?3.106;5.8 
510-95-6347;B;Manisa;Member;Kadın;Yiyecek icecek;?4.852;3;7278;152838;3.05.2019;0.761805556;Ecuzdan;?7.278;0.4 
841-35-6630;C;Aydın;Normal;Kadın;Elektronik aksesuar;?7.591;6;22773;478233;3.09.2019;0.764583333;Nakit;?22.773;8.6 
287-21-9091;A;Izmir;Normal;Erkek;Ev ve Yasam;?7.467;9;336015;7056315;1/22/2019;0.454861111;Ecuzdan;?336.015;9.3 
732-94-0499;C;Aydın;Normal;Kadın;Elektronik aksesuar;?4.165;10;20825;437325;1/13/2019;0.711111111;Kredi kartı;?20.825;5.3 
263-10-3913;C;Aydın;Member;Erkek;Moda aksesuar;?4.904;9;22068;463428;1.09.2019;0.597222222;Kredi kartı;?22.068;8.5 
381-20-0914;A;Izmir;Member;Kadın;Moda aksesuar;?2.001;9;90045;1890945;1.12.2019;0.658333333;Kredi kartı;?90.045;5.6 
829-49-1914;C;Aydın;Member;Kadın;Yiyecek icecek;?7.831;10;39155;822255;3.05.2019;0.683333333;Ecuzdan;?39.155;6.5 
756-01-7507;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?2.038;5;5095;106995;1/22/2019;0.788888889;Nakit;?5.095;0.6 
870-72-4431;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?9.919;6;29757;624897;1/21/2019;0.6125;Kredi kartı;?29.757;5.4 
847-38-7188;B;Manisa;Normal;Kadın;Yiyecek icecek;?9.668;3;14502;304542;1/26/2019;0.830555556;Ecuzdan;?14.502;6.3 
480-63-2856;C;Aydın;Normal;Erkek;Yiyecek icecek;?1.925;8;77;1617;1/23/2019;0.775694444;Ecuzdan;?77;6.5 
787-56-0757;C;Aydın;Member;Kadın;Yiyecek icecek;?8.036;4;16072;337512;2/23/2019;0.78125;Kredi kartı;?16.072;8.2 
360-39-5055;C;Aydın;Member;Erkek;Spor ve gezi;?4.891;5;122275;2567775;3.09.2019;0.428472222;Nakit;?122.275;6.5 
730-50-9884;C;Aydın;Normal;Kadın;Spor ve gezi;?8.306;7;29071;610491;3.05.2019;0.604861111;Ecuzdan;?29.071;0.4 
362-58-8315;C;Aydın;Normal;Erkek;Moda aksesuar;?7.652;5;1913;40173;3/25/2019;0.432638889;Nakit;?1.913;9.8 
633-44-8566;A;Izmir;Member;Erkek;Yiyecek icecek;?4.938;7;17283;362943;3/27/2019;0.857638889;Kredi kartı;?17.283;7.2 
504-35-8843;A;Izmir;Normal;Erkek;Spor ve gezi;?4.247;1;21235;445935;1.02.2019;0.70625;Nakit;?21.235;5.6 
318-68-5053;B;Manisa;Normal;Kadın;Saglık ve Guzellik;?7.699;6;23097;485037;2/27/2019;0.746527778;Nakit;?23.097;6.0 
565-80-5980;C;Aydın;Member;Kadın;Ev ve Yasam;?4.738;4;9476;198996;1/23/2019;0.434027778;Nakit;?9.476;7.0 
225-32-0908;C;Aydın;Normal;Kadın;Spor ve gezi;?4.486;10;2243;47103;1/26/2019;0.829166667;Ecuzdan;?2.243;8.1 
873-51-0671;A;Izmir;Member;Kadın;Spor ve gezi;?2.198;7;7693;161553;1.10.2019;0.695833333;Ecuzdan;?7.693;5.0 
152-08-9985;B;Manisa;Member;Erkek;Saglık ve Guzellik;?6.436;9;28962;608202;3.12.2019;0.50625;Kredi kartı;?28.962;8.5 
512-91-0811;C;Aydın;Normal;Erkek;Saglık ve Guzellik;?8.975;1;44875;942375;2.06.2019;0.836805556;Kredi kartı;?44.875;6.5 
594-34-4444;A;Izmir;Normal;Erkek;Elektronik aksesuar;?9.716;1;4858;102018;3.08.2019;0.859722222;Ecuzdan;?4.858;7.1 
766-85-7061;B;Manisa;Normal;Erkek;Saglık ve Guzellik;?8.787;10;43935;922635;3/29/2019;0.434027778;Ecuzdan;?43.935;5.0 
871-39-9221;C;Aydın;Normal;Kadın;Elektronik aksesuar;?1.245;6;3735;78435;2.09.2019;0.549305556;Nakit;?3.735;4.1 
865-92-6136;A;Izmir;Normal;Erkek;Yiyecek icecek;?5.275;3;79125;1661625;3/23/2019;0.427777778;Ecuzdan;?79.125;9.2 
733-01-9107;B;Manisa;Normal;Erkek;Ev ve Yasam;?827;6;2481;52101;3.05.2019;0.759722222;Nakit;?2.481;7.3 
163-56-7055;C;Aydın;Member;Erkek;Moda aksesuar;?4.871;1;24355;511455;3/26/2019;0.805555556;Nakit;?24.355;4.1 
189-98-2939;C;Aydın;Normal;Erkek;Moda aksesuar;?7.855;9;353475;7422975;3.01.2019;0.556944444;Nakit;?353.475;7.1 
551-21-3069;C;Aydın;Normal;Kadın;Elektronik aksesuar;?2.307;9;103815;2180115;2.01.2019;0.477083333;Nakit;?103.815;4.9 
212-62-1842;A;Izmir;Normal;Erkek;Yiyecek icecek;?5.826;6;17478;367038;3/28/2019;0.697222222;Nakit;?17.478;9.8 
716-39-1409;B;Manisa;Normal;Erkek;Saglık ve Guzellik;?3.035;7;106225;2230725;3/19/2019;0.763194444;Nakit;?106.225;0.8 
704-48-3927;A;Izmir;Member;Erkek;Elektronik aksesuar;?8.867;10;44335;931035;1.12.2019;0.618055556;Ecuzdan;?44.335;7.2 
628-34-3388;C;Aydın;Normal;Erkek;Moda aksesuar;?2.738;6;8214;172494;1.05.2019;0.870833333;Kredi kartı;?8.214;7.8 
630-74-5166;A;Izmir;Normal;Erkek;Spor ve gezi;?6.213;6;18639;391419;3/22/2019;0.846527778;Nakit;?18.639;7.3 
588-01-7461;C;Aydın;Normal;Kadın;Yiyecek icecek;?3.398;9;15291;321111;3/24/2019;0.446527778;Nakit;?15.291;4.2 
861-77-0145;C;Aydın;Member;Erkek;Elektronik aksesuar;?8.197;10;40985;860685;3.03.2019;0.604166667;Nakit;?40.985;9.1 
479-26-8945;B;Manisa;Member;Kadın;Spor ve gezi;?1.649;2;1649;34629;2.05.2019;0.480555556;Ecuzdan;?1.649;4.6 
210-67-5886;C;Aydın;Member;Kadın;Saglık ve Guzellik;?9.821;3;147315;3093615;2.05.2019;0.445138889;Kredi kartı;?147.315;7.7 
227-78-1148;B;Manisa;Normal;Kadın;Moda aksesuar;?7.284;7;25494;535374;2/15/2019;0.530555556;Nakit;?25.494;8.3 
645-44-1170;A;Izmir;Member;Erkek;Ev ve Yasam;?5.807;9;261315;5487615;1/19/2019;0.838194444;Ecuzdan;?261.315;4.3 
237-01-6122;C;Aydın;Member;Kadın;Ev ve Yasam;?8.079;9;363555;7634655;2.01.2019;0.854861111;Kredi kartı;?363.555;9.4 
225-98-1496;C;Aydın;Normal;Kadın;Moda aksesuar;?2.702;3;4053;85113;3.02.2019;0.542361111;Kredi kartı;?4.053;7.0 
291-32-1427;B;Manisa;Member;Erkek;Moda aksesuar;?2.194;5;5485;115185;3.05.2019;0.520138889;Ecuzdan;?5.485;5.2 
659-65-8956;B;Manisa;Member;Erkek;Moda aksesuar;?5.136;1;2568;53928;1/16/2019;0.643055556;Ecuzdan;?2.568;5.1 
642-32-2990;A;Izmir;Normal;Kadın;Yiyecek icecek;?1.096;10;548;11508;2.02.2019;0.866666667;Ecuzdan;?548;0.6 
378-24-2715;B;Manisa;Normal;Erkek;Ev ve Yasam;?5.344;2;5344;112224;1/20/2019;0.859722222;Ecuzdan;?5.344;4.1 
638-60-7125;A;Izmir;Normal;Kadın;Elektronik aksesuar;?9.956;8;39824;836304;2/14/2019;0.710416667;Kredi kartı;?39.824;5.1 
659-36-1684;C;Aydın;Member;Erkek;Spor ve gezi;?5.712;7;19992;419832;1.12.2019;0.501388889;Kredi kartı;?19.992;6.4 
219-22-9386;B;Manisa;Member;Erkek;Spor ve gezi;?9.996;9;44982;944622;3.09.2019;0.726388889;Kredi kartı;?44.982;4.2 
336-78-2147;C;Aydın;Member;Erkek;Ev ve Yasam;?6.391;8;25564;536844;3/13/2019;0.827777778;Kredi kartı;?25.564;4.6 
268-27-6179;B;Manisa;Member;Kadın;Moda aksesuar;?5.647;8;22588;474348;3.09.2019;0.622916667;Ecuzdan;?22.588;7.2 
668-90-8900;A;Izmir;Normal;Kadın;Ev ve Yasam;?9.369;7;327915;6886215;3.10.2019;0.780555556;Kredi kartı;?327.915;4.5 
870-54-3162;A;Izmir;Normal;Kadın;Spor ve gezi;?3.225;5;80625;1693125;1/27/2019;0.559722222;Nakit;?80.625;0.9 
189-08-9157;C;Aydın;Normal;Kadın;Moda aksesuar;?3.173;9;142785;2998485;1.08.2019;0.678472222;Kredi kartı;?142.785;5.8 
663-86-9076;C;Aydın;Member;Kadın;Yiyecek icecek;?6.854;8;27416;575736;1.08.2019;0.664583333;Ecuzdan;?27.416;8.4 
549-84-7482;B;Manisa;Normal;Kadın;Spor ve gezi;?9.028;9;40626;853146;2.08.2019;0.46875;Ecuzdan;?40.626;7.1 
191-10-6171;B;Manisa;Normal;Kadın;Moda aksesuar;?3.962;7;13867;291207;1/25/2019;0.554166667;Nakit;?13.867;7.4 
802-70-5316;A;Izmir;Member;Kadın;Spor ve gezi;?9.213;6;27639;580419;3.06.2019;0.856944444;Nakit;?27.639;8.2 
695-51-0018;B;Manisa;Normal;Kadın;Spor ve gezi;?3.484;4;6968;146328;2.10.2019;0.775;Nakit;?6.968;7.3 
590-83-4591;B;Manisa;Member;Erkek;Elektronik aksesuar;?8.745;6;26235;550935;2/17/2019;0.611111111;Kredi kartı;?26.235;8.7 
483-71-1164;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?813;6;2439;51219;3.08.2019;0.696527778;Ecuzdan;?2.439;5.2 
597-78-7908;C;Aydın;Normal;Erkek;Moda aksesuar;?9.022;3;13533;284193;2/18/2019;0.81875;Nakit;?13.533;6.1 
700-81-1757;A;Izmir;Normal;Kadın;Elektronik aksesuar;?2.631;5;65775;1381275;1/18/2019;0.874305556;Kredi kartı;?65.775;8.7 
354-39-5160;A;Izmir;Member;Kadın;Ev ve Yasam;?3.442;6;10326;216846;2/18/2019;0.652083333;Nakit;?10.326;9.7 
241-72-9525;B;Manisa;Normal;Erkek;Spor ve gezi;?5.191;10;25955;545055;2/16/2019;0.514583333;Nakit;?25.955;8.1 
575-30-8091;A;Izmir;Normal;Erkek;Spor ve gezi;?725;8;29;609;3/16/2019;0.809027778;Ecuzdan;?29;9.1 
731-81-9469;C;Aydın;Member;Kadın;Spor ve gezi;?898;10;449;9429;1/23/2019;0.541666667;Kredi kartı;?449;5.3 
280-17-4359;C;Aydın;Member;Erkek;Saglık ve Guzellik;?905;10;4525;95025;1/25/2019;0.575;Nakit;?4.525;8.0 
338-65-2210;C;Aydın;Member;Kadın;Saglık ve Guzellik;?686;10;343;7203;2.05.2019;0.83125;Nakit;?343;9.0 
488-25-4221;C;Aydın;Member;Kadın;Yiyecek icecek;?3.041;1;15205;319305;2/22/2019;0.441666667;Kredi kartı;?15.205;8.3 
239-10-7476;A;Izmir;Normal;Kadın;Ev ve Yasam;?7.795;6;23385;491085;1/21/2019;0.692361111;Ecuzdan;?23.385;0.8 
458-41-1477;C;Aydın;Normal;Kadın;Saglık ve Guzellik;?4.626;6;13878;291438;3.08.2019;0.715972222;Kredi kartı;?13.878;9.4 
685-64-1609;A;Izmir;Member;Kadın;Moda aksesuar;?3.014;10;1507;31647;2.10.2019;0.519444444;Ecuzdan;?1.507;9.1 
568-90-5112;C;Aydın;Normal;Erkek;Saglık ve Guzellik;?6.614;4;13228;277788;3/19/2019;0.531944444;Kredi kartı;?13.228;5.5 
262-47-2794;B;Manisa;Member;Erkek;Ev ve Yasam;?7.186;8;28744;603624;3.06.2019;0.629861111;Kredi kartı;?28.744;6.1 
238-49-0436;A;Izmir;Normal;Erkek;Saglık ve Guzellik;?3.246;8;12984;272664;3/27/2019;0.575;Kredi kartı;?12.984;4.9 
608-96-3517;B;Manisa;Member;Kadın;Moda aksesuar;?9.154;4;18308;384468;3/23/2019;0.805555556;Kredi kartı;?18.308;4.8 
584-86-7256;C;Aydın;Member;Erkek;Spor ve gezi;?3.456;7;12096;254016;3.11.2019;0.671527778;Kredi kartı;?12.096;7.2 
746-94-0204;A;Izmir;Normal;Erkek;Moda aksesuar;?8.324;9;37458;786618;1/29/2019;0.497222222;Kredi kartı;?37.458;7.3 
214-17-6927;C;Aydın;Normal;Kadın;Yiyecek icecek;?1.648;6;4944;103824;2.07.2019;0.765972222;Ecuzdan;?4.944;9.8 
400-89-4171;C;Aydın;Normal;Kadın;Spor ve gezi;?8.097;8;32388;680148;1/28/2019;0.545138889;Nakit;?32.388;9.2 
782-95-9291;A;Izmir;Member;Erkek;Yiyecek icecek;?9.229;5;230725;4845225;2/20/2019;0.663194444;Kredi kartı;?230.725;0.9 
279-74-2924;B;Manisa;Member;Erkek;Elektronik aksesuar;?7.217;1;36085;757785;1.04.2019;0.819444444;Nakit;?36.085;6.0 
307-85-2293;B;Manisa;Normal;Erkek;Ev ve Yasam;?5.028;5;1257;26397;3.07.2019;0.581944444;Ecuzdan;?1.257;9.6 
743-04-1105;B;Manisa;Member;Erkek;Saglık ve Guzellik;?9.722;9;43749;918729;3/30/2019;0.613194444;Ecuzdan;?43.749;0.6 
423-57-2993;B;Manisa;Normal;Erkek;Spor ve gezi;?9.339;6;28017;588357;3/27/2019;0.804166667;Ecuzdan;?28.017;1.0 
894-41-5205;C;Aydın;Normal;Kadın;Yiyecek icecek;?4.318;8;17272;362712;1/19/2019;0.81875;Kredi kartı;?17.272;8.2 
275-28-0149;A;Izmir;Normal;Erkek;Spor ve gezi;?6.369;1;31845;668745;2/25/2019;0.68125;Nakit;?31.845;0.6 
101-17-6199;A;Izmir;Normal;Erkek;Yiyecek icecek;?4.579;7;160265;3365565;3/13/2019;0.822222222;Kredi kartı;?160.265;0.7 
423-80-0988;C;Aydın;Normal;Erkek;Spor ve gezi;?764;2;764;16044;1/30/2019;0.820833333;Ecuzdan;?764;6.4 
548-46-9322;B;Manisa;Normal;Erkek;Yiyecek icecek;?399;10;1995;41895;2/20/2019;0.641666667;Kredi kartı;?1.995;5.8 
505-02-0892;B;Manisa;Member;Erkek;Saglık ve Guzellik;?4.257;8;17028;357588;2/25/2019;0.591666667;Ecuzdan;?17.028;5.5 
234-65-2137;C;Aydın;Normal;Erkek;Ev ve Yasam;?9.558;10;4779;100359;1/16/2019;0.563888889;Nakit;?4.779;4.8 
687-47-8271;A;Izmir;Normal;Erkek;Moda aksesuar;?9.898;10;4949;103929;2.08.2019;0.680555556;Kredi kartı;?4.949;8.6 
796-32-9050;A;Izmir;Normal;Erkek;Yiyecek icecek;?5.128;6;15384;323064;1/19/2019;0.688194444;Nakit;?15.384;6.4 
105-31-1824;A;Izmir;Member;Erkek;Spor ve gezi;?6.952;7;24332;510972;2.01.2019;0.631944444;Kredi kartı;?24.332;8.4 
249-42-3782;A;Izmir;Normal;Erkek;Saglık ve Guzellik;?7.001;5;175025;3675525;1.03.2019;0.483333333;Ecuzdan;?175.025;5.4 
316-55-4634;B;Manisa;Member;Erkek;Yiyecek icecek;?8.005;5;200125;4202625;1/26/2019;0.53125;Kredi kartı;?200.125;9.3 
733-33-4967;C;Aydın;Normal;Erkek;Elektronik aksesuar;?2.085;8;834;17514;3.03.2019;0.803472222;Nakit;?834;6.2 
608-27-6295;B;Manisa;Member;Erkek;Elektronik aksesuar;?5.289;6;15867;333207;1/19/2019;0.731944444;Kredi kartı;?15.867;9.7 
414-12-7047;B;Manisa;Normal;Erkek;Yiyecek icecek;?1.979;8;7916;166236;1/18/2019;0.502777778;Ecuzdan;?7.916;8.6 
827-26-2100;A;Izmir;Member;Erkek;Ev ve Yasam;?3.384;9;15228;319788;3/21/2019;0.68125;Ecuzdan;?15.228;8.7 
175-54-2529;A;Izmir;Member;Erkek;Yiyecek icecek;?2.217;8;8868;186228;3.03.2019;0.709027778;Kredi kartı;?8.868;9.5 
139-52-2867;C;Aydın;Normal;Kadın;Moda aksesuar;?2.251;7;78785;1654485;2/13/2019;0.451388889;Kredi kartı;?78.785;4.8 
407-63-8975;A;Izmir;Normal;Erkek;Yiyecek icecek;?7.388;6;22164;465444;3/23/2019;0.802777778;Ecuzdan;?22.164;4.4 
342-65-4817;C;Aydın;Member;Erkek;Saglık ve Guzellik;?868;3;1302;27342;1/28/2019;0.699305556;Ecuzdan;?1.302;9.8 
130-98-8941;C;Aydın;Normal;Erkek;Moda aksesuar;?6.426;7;22491;472311;2.09.2019;0.416666667;Nakit;?22.491;5.6 
434-83-9547;C;Aydın;Member;Erkek;Yiyecek icecek;?3.847;8;15388;323148;1/23/2019;0.49375;Nakit;?15.388;7.6 
851-28-6367;A;Izmir;Member;Erkek;Spor ve gezi;?155;10;775;16275;3/23/2019;0.454861111;Ecuzdan;?775;0.8 
824-88-3614;C;Aydın;Normal;Erkek;Saglık ve Guzellik;?3.431;8;13724;288204;1/25/2019;0.625;Ecuzdan;?13.724;5.6 
